m,k,n,type,ac_native,b_native,time_ns
128,256,2048,RKNN_INT8_MM_INT8_TO_INT32,0,1,17514016
128,256,2048,RKNN_INT8_MM_INT8_TO_INT32,1,0,15757918
128,256,2048,RKNN_INT8_MM_INT8_TO_INT32,1,1,10609208
128,256,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,16748403
128,256,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,14173027
128,256,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,20359178
128,256,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,15023513
128,256,2048,RKNN_INT4_MM_INT4_TO_INT16,0,1,31174884
128,256,2048,RKNN_INT4_MM_INT4_TO_INT16,1,1,14653519
128,256,4096,RKNN_INT8_MM_INT8_TO_INT32,0,0,18468917
128,256,4096,RKNN_INT8_MM_INT8_TO_INT32,0,1,21068459
128,256,4096,RKNN_INT8_MM_INT8_TO_INT32,1,0,26050089
128,256,4096,RKNN_INT8_MM_INT8_TO_INT32,1,1,19657732
128,256,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,31914538
128,256,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,20627883
128,256,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,28350344
128,256,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,20406137
128,256,4096,RKNN_INT4_MM_INT4_TO_INT16,0,1,34877825
128,256,4096,RKNN_INT4_MM_INT4_TO_INT16,1,1,22259940
128,256,8192,RKNN_INT8_MM_INT8_TO_INT32,0,0,46047898
128,256,8192,RKNN_INT8_MM_INT8_TO_INT32,0,1,30203648
128,256,8192,RKNN_INT8_MM_INT8_TO_INT32,1,0,42717701
128,256,8192,RKNN_INT8_MM_INT8_TO_INT32,1,1,28943669
128,256,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,56524984
128,256,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,34454414
128,256,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,48500902
128,256,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,27361110
128,256,8192,RKNN_INT4_MM_INT4_TO_INT16,0,1,54816427
128,256,8192,RKNN_INT4_MM_INT4_TO_INT16,1,1,37669365
128,512,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,2762623
128,512,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,2619834
128,512,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,2629042
128,512,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,1548142
128,512,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,1857888
128,512,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,1625141
128,512,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,1919719
128,512,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,1778264
128,512,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,2797039
128,512,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,2055343
128,512,128,RKNN_INT8_MM_INT8_TO_INT32,1,0,2340005
128,512,128,RKNN_INT8_MM_INT8_TO_INT32,1,1,2384920
128,512,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,3007911
128,512,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,2214298
128,512,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,2744540
128,512,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,2421670
128,512,128,RKNN_INT4_MM_INT4_TO_INT16,0,1,16388200
128,512,128,RKNN_INT4_MM_INT4_TO_INT16,1,1,4188559
128,512,256,RKNN_INT8_MM_INT8_TO_INT32,0,0,3681358
128,512,256,RKNN_INT8_MM_INT8_TO_INT32,0,1,3469320
128,512,256,RKNN_INT8_MM_INT8_TO_INT32,1,0,6411899
128,512,256,RKNN_INT8_MM_INT8_TO_INT32,1,1,3884939
128,512,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,4308432
128,512,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,3889897
128,512,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,5838199
128,512,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,5136461
128,512,256,RKNN_INT4_MM_INT4_TO_INT16,0,1,17288269
128,512,256,RKNN_INT4_MM_INT4_TO_INT16,1,1,10074300
128,512,512,RKNN_INT8_MM_INT8_TO_INT32,0,0,7097305
128,512,512,RKNN_INT8_MM_INT8_TO_INT32,0,1,10286630
128,512,512,RKNN_INT8_MM_INT8_TO_INT32,1,0,13650077
128,512,512,RKNN_INT8_MM_INT8_TO_INT32,1,1,4201684
128,512,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,8186080
128,512,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,9163439
128,512,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,12185933
128,512,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,4641510
128,512,512,RKNN_INT4_MM_INT4_TO_INT16,0,1,20723756
128,512,512,RKNN_INT4_MM_INT4_TO_INT16,1,1,10044550
128,512,1024,RKNN_INT8_MM_INT8_TO_INT32,0,0,10118340
128,512,1024,RKNN_INT8_MM_INT8_TO_INT32,0,1,11770606
128,512,1024,RKNN_INT8_MM_INT8_TO_INT32,1,0,8927484
128,512,1024,RKNN_INT8_MM_INT8_TO_INT32,1,1,6341900
128,512,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,10841954
128,512,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,14853349
128,512,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,17273686
128,512,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,9642056
128,512,1024,RKNN_INT4_MM_INT4_TO_INT16,0,1,25858634
128,512,1024,RKNN_INT4_MM_INT4_TO_INT16,1,1,18807829
128,512,2048,RKNN_INT8_MM_INT8_TO_INT32,0,0,15429506
128,512,2048,RKNN_INT8_MM_INT8_TO_INT32,0,1,20238139
128,512,2048,RKNN_INT8_MM_INT8_TO_INT32,1,0,24626736
128,512,2048,RKNN_INT8_MM_INT8_TO_INT32,1,1,19323654
128,512,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,30751098
128,512,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,21000544
128,512,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,31328298
128,512,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,21847530
128,512,2048,RKNN_INT4_MM_INT4_TO_INT16,0,1,34703994
128,512,2048,RKNN_INT4_MM_INT4_TO_INT16,1,1,25086438
128,512,4096,RKNN_INT8_MM_INT8_TO_INT32,0,0,32268408
128,512,4096,RKNN_INT8_MM_INT8_TO_INT32,0,1,31818873
128,512,4096,RKNN_INT8_MM_INT8_TO_INT32,1,0,41660718
128,512,4096,RKNN_INT8_MM_INT8_TO_INT32,1,1,28968127
128,512,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,51204234
128,512,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,32698359
128,512,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,49289764
128,512,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,27168030
128,512,4096,RKNN_INT4_MM_INT4_TO_INT16,0,1,48771106
128,512,4096,RKNN_INT4_MM_INT4_TO_INT16,1,1,30044693
128,512,8192,RKNN_INT8_MM_INT8_TO_INT32,0,0,73121805
128,512,8192,RKNN_INT8_MM_INT8_TO_INT32,0,1,45566781
128,512,8192,RKNN_INT8_MM_INT8_TO_INT32,1,0,71952740
128,512,8192,RKNN_INT8_MM_INT8_TO_INT32,1,1,48342112
128,512,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,105318797
128,512,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,56497692
128,512,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,92205379
128,512,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,49542302
128,512,8192,RKNN_INT4_MM_INT4_TO_INT16,0,1,78117893
128,512,8192,RKNN_INT4_MM_INT4_TO_INT16,1,1,64245862
128,1024,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,7521673
128,1024,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,2527544
128,1024,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,2924204
128,1024,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,2815706
128,1024,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,3254073
128,1024,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,2842538
128,1024,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,3602027
128,1024,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,3163367
128,1024,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,4107768
128,1024,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,3473112
128,1024,128,RKNN_INT8_MM_INT8_TO_INT32,1,0,4182725
128,1024,128,RKNN_INT8_MM_INT8_TO_INT32,1,1,6207736
128,1024,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,5099712
128,1024,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,3163075
128,1024,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,4696342
128,1024,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,4401472
128,1024,128,RKNN_INT4_MM_INT4_TO_INT16,0,1,16943233
128,1024,128,RKNN_INT4_MM_INT4_TO_INT16,1,1,6841517
128,1024,256,RKNN_INT8_MM_INT8_TO_INT32,0,0,6619563
128,1024,256,RKNN_INT8_MM_INT8_TO_INT32,0,1,4673010
128,1024,256,RKNN_INT8_MM_INT8_TO_INT32,1,0,6986765
128,1024,256,RKNN_INT8_MM_INT8_TO_INT32,1,1,6013780
128,1024,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,7788544
128,1024,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,9498559
128,1024,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,18284586
128,1024,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,7552590
