count,m,k,n,type,ac_native,b_native,time_ns,gops
8,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,68832,15.2941
9,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,70874,14.8571
10,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,73207,14.2466
11,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,71165,14.6479
12,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,66498,15.7576
13,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,68541,15.2941
14,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,67665,15.5224
15,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,66791,15.7576
16,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,65916,16
17,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,65916,16
18,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,66207,15.7576
19,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,69416,15.0725
20,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,74665,14.0541
21,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,67665,15.5224
22,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,67082,15.5224
23,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,65916,16
24,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,68832,15.2941
25,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,74665,14.0541
26,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,70582,14.8571
27,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,81374,12.8395
28,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,67083,15.5224
29,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,76416,13.6842
0,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,82832,12.6829
1,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,72041,14.4444
2,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,70874,14.8571
3,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,65916,16
4,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,69124,15.0725
5,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,67083,15.5224
6,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,67374,15.5224
7,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,69707,15.0725
8,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,70582,14.8571
9,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,69124,15.0725
10,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,68832,15.2941
11,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,68249,15.2941
12,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,69416,15.0725
13,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,70874,14.8571
14,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,68249,15.2941
15,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,74082,14.0541
16,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,70291,14.8571
17,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,70582,14.8571
18,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,69415,15.0725
19,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,69124,15.0725
20,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,70291,14.8571
21,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,65041,16
22,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,67082,15.5224
23,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,68249,15.2941
24,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,65332,16
25,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,66207,15.7576
26,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,67082,15.5224
27,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,68249,15.2941
28,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,69416,15.0725
29,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,67957,15.5224
0,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,50457,20.8
1,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,37333,28.1081
2,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,37333,28.1081
3,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36166,28.8889
4,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36458,28.8889
5,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36458,28.8889
6,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35875,29.7143
7,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36166,28.8889
8,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,41416,25.3659
9,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36749,28.8889
10,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35874,29.7143
11,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36166,28.8889
12,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35875,29.7143
13,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35875,29.7143
14,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36458,28.8889
15,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35583,29.7143
16,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36457,28.8889
17,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36166,28.8889
18,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35583,29.7143
19,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35582,29.7143
20,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35583,29.7143
21,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35583,29.7143
22,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35582,29.7143
23,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35582,29.7143
24,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35583,29.7143
25,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35874,29.7143
26,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36167,28.8889
27,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,36166,28.8889
28,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35583,29.7143
29,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35583,29.7143
0,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,48707,21.6667
1,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36750,28.8889
2,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35875,29.7143
3,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35583,29.7143
4,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35874,29.7143
5,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35874,29.7143
6,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36167,28.8889
7,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35582,29.7143
8,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35875,29.7143
9,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,39082,26.6667
10,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36749,28.8889
11,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36458,28.8889
12,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36458,28.8889
13,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35582,29.7143
14,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36166,28.8889
15,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35874,29.7143
16,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36166,28.8889
17,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36166,28.8889
18,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35875,29.7143
19,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,41708,25.3659
20,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,38208,27.3684
21,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,37624,28.1081
22,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36458,28.8889
23,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36166,28.8889
24,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35874,29.7143
25,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36458,28.8889
26,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35875,29.7143
27,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35583,29.7143
28,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36166,28.8889
29,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,36458,28.8889
0,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,102665,20.3922
1,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,93332,22.3656
2,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,94207,22.1277
3,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,116373,17.931
4,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,107040,19.4393
5,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,111415,18.7387
6,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,103540,20.1942
7,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,104707,20
8,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,93623,22.3656
9,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,96540,21.6667
10,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,93332,22.3656
11,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,101498,20.5941
12,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,100040,20.8
13,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,99748,21.0101
14,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,97999,21.4433
15,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,97999,21.4433
16,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,98582,21.2245
17,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,144956,14.4444
18,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,102081,20.3922
19,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,98873,21.2245
20,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,96540,21.6667
21,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,98873,21.2245
22,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,101207,20.5941
23,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,98582,21.2245
24,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,98874,21.2245
25,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,99165,21.0101
26,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,99749,21.0101
27,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,98582,21.2245
28,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,118999,17.6271
29,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,147873,14.1497
0,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,109665,19.0826
1,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,95666,21.8947
2,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,95957,21.8947
3,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,95081,21.8947
4,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,97415,21.4433
5,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,93623,22.3656
6,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,101206,20.5941
7,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,98290,21.2245
8,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,93040,22.3656
9,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,93332,22.3656
10,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,96249,21.6667
11,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,90999,23.1111
12,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,96540,21.6667
13,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,95373,21.8947
14,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,101499,20.5941
15,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,102665,20.3922
16,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,98873,21.2245
17,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,94790,22.1277
18,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,93915,22.3656
19,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,97706,21.4433
20,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,98873,21.2245
21,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,101207,20.5941
22,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,104415,20
23,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,102666,20.3922
24,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,100915,20.8
25,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,97416,21.4433
26,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,102665,20.3922
27,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,99166,21.0101
28,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,92165,22.6087
29,128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,96249,21.6667
